Ref_LAT,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
35.7135,26257.2,104990,38878,0,0
37.4161,15742.2,99660.3,14558,1,0
37.558,42778.2,90680.3,58558,2,0
38.0843,37390.2,88820.3,52518,3,0
38.5415,36993.2,91610.3,50378,4,0
38.6752,51532.2,74692.3,69148,5,0
39.1283,91632.2,67220.3,23818,6,0
40.4029,62462.2,79293.3,17668,7,0
44.2796,21222.2,71604.3,55888,8,0
47.7168,39588.2,105590,31738,9,0
53.2872,58963.2,96440.3,44618,10,0
53.3221,16644.2,80377.3,32718,11,0
53.4524,15803.2,79759.3,32098,12,0
57.6983,53216.2,78043.3,23928,13,0
58.0154,52457.2,79216.3,27188,14,0
60.8741,34357.2,80687.3,44848,15,0
